"Programmname title";"Beschreibung description";"Schlüsselwörter keywords";"Vorschaubild thumbnail";"URL";"Breite";"Höhe"
"Aggregatzustände und Zustandsänderungen";"Veranschaulicht die Änderung der Aggregatzustände in einem einfachen Teilchenmodell";"Aggregatzustand, Chemieunterricht, Anfangsunterricht, Teilchenmodell, Teilchenebene, Stoffebene, Zustandsänderung, fest, flüssig, gasförmig, Gefrieren, Schmelzen, Sieden, Kondensieren, Sublimieren, Resublimieren, Dichteanomalie ";"https://chemie-lernprogramme.de/vorschaubilder/Aggregatzustaende_und_Zustandsaenderungen.png";"https://chemie-lernprogramme.de/daten/programme/js/zustandsaenderer/index.html";640;800
"Anorganische und organische Redoxreaktionen";"Anorganische und Organische Redoxgleichungen erzeugen";"Salzbildung, Verdrängungsreaktionen, Metalle, Nichtmetalle, Reduktionsmittel, Oxidationsmittel, Aldehyde, Oxidierbarkeit, Reduktionsmittelstärke, Fehling-Probe, Silberspiegel-Probe, schwarzes Kupferoxid, Kaliumdichromat, Kaliumpermanganat ";"https://chemie-lernprogramme.de/vorschaubilder/Anorganische_und_organische_Redoxreaktionen.png";"https://chemie-lernprogramme.de/daten/programme/js/oxidaser-online/index.html";720;530
"Atomradien";"Vergleichende Darstellung von Atomradien";"Atomradius, Van-der-Waals-Radius, kovalenter Atomradius, Kästchen, Muster, Vektorgrafik, Koordinatensystem, Trends im Periodensystem der Elemente, PSE, CPK-Farbschema";"https://chemie-lernprogramme.de/vorschaubilder/Atomradien.png";"https://chemie-lernprogramme.de/daten/programme/js/atomradienvergleicher/index.html";560;620
"Aufbau des Periodensystems";"Zeigt die Teilcheninformationen zu den ersten zwanzig Elementen des Periodensystems an und leitet den Aufbau des Periodensystems von diesen ab";"Periodensystem der Elemente, PSE, Ordnungszahl, Protonenzahl, Metalle, Nichtmetalle, Alkalimetalle, Erdalkalimetalle, Chalkogene, Halogene, Edelgase ";"https://chemie-lernprogramme.de/vorschaubilder/Aufbau_des_Periodensystems.png";"https://chemie-lernprogramme.de/daten/programme/js/pseler-online/index.html";820;580
"Aufstellen des Massenwirkungsgesetzes";"Ermittelt für beliebige Reaktionsgleichungen das Massenwirkungsgesetz einschließlich der Gleichgewichtskonstanten";"Massenwirkungsgesetz, Gleichgewichtskonstante, Stoffmengenkonzentration, Partialdruck, Mol pro Liter, Pascal";"https://chemie-lernprogramme.de/vorschaubilder/Aufstellen_des_Massenwirkungsgesetzes.png";"https://chemie-lernprogramme.de/daten/programme/js/gleichgewichtskonstanter/index.html";600;320
"Benennung sauerstoffhaltiger organischer Verbindungen";"Systematische Benennung mehrfunktioneller sauerstoffhaltiger organischer Verbindungen";"Aldehyd, Keton, Carbonsäure, Alkohol, Nomenklatur, IUPAC ";"https://chemie-lernprogramme.de/vorschaubilder/Benennung_sauerstoffhaltiger_organischer_Verbindungen.png";"https://chemie-lernprogramme.de/daten/programme/js/stoffklassenbenenner/index.html";720;720
"Benennung von Alkanen";"Erzeugt die Namen von Alkanen und zeigt die C-Kette, die Siedepunkte sowie die Zahl der Gerüstisomere an";"Alkane, homologe Reihe, kettenförmige Alkane, verzweigte Alkane, Gerüstisomere, Methygruppe, Ethylgruppe ";"https://chemie-lernprogramme.de/vorschaubilder/Benennung_von_Alkanen.png";"https://chemie-lernprogramme.de/daten/programme/js/alkanbenenner-online/index.html";560;640
"Bindungstyp ermitteln";"Vorhersage des Bindungstyps mit Hilfe der Differenz der Elektronegativitäten";"Metallbindung, metallische Bindung, Elektronegativitätsdifferenz, Delta EN, Ionenbindung, Atombindung, Elektronenpaarbindung, polare Bindung, Bindungspolarität, Salze, Moleküle, molekulare Stoffe, Van Ketelaar Diagramm ";"https://chemie-lernprogramme.de/vorschaubilder/Bindungstyp_ermitteln.png";"https://chemie-lernprogramme.de/daten/programme/js/bindungstypermittler/index.html";690;700
"Disaccharide";"Veranschaulicht die Struktur sowie die Eigenschaften wichtiger Disaccharide";"Disaccharide, Saccharose, Haushaltszucker, Kristallzucker, Rübenzucker, Fruchtzucker, Cellobiose, Maltose, Isomaltose, Isomaltulose, Trehalose, Lactose, Halbacetal, Vollacetal, Halbketal, Vollketal, glykosidische Bindung ";"https://chemie-lernprogramme.de/vorschaubilder/Disaccharide.png";"https://chemie-lernprogramme.de/daten/programme/js/disaccharider-online/index.html";640;580
"Druckabhängigkeit des chemischen Gleichgewichts";"Veranschaulicht die Druckabhängigkeit der Lage des chemischen Gleichgewichts";"Chemisches Gleichgewicht, Druckabhängigkeit ";"https://chemie-lernprogramme.de/vorschaubilder/Druckabhaengigkeit_des_chemischen_Gleichgewichts.png";"https://chemie-lernprogramme.de/daten/programme/js/gleichgewichtdruecker-online/index.html";720;740
"Einfache Valenzstrichformeln zusammensetzen";"Strukturformeln einfacher Moleküle und Molekülionen aus einer Auswahl einfacher Grundbausteine erzeugen";"Valenzstrichformel, Strukturformel, Keilstrichschreibweise, bindendes Elektronenpaar, freies Elektronenpaar, Einfachbindung, Doppelbindung, Aminogruppe, Hydroxygruppe, Methylgruppe ";"https://chemie-lernprogramme.de/vorschaubilder/Einfache_Valenzstrichformeln_zusammensetzen.png";"https://chemie-lernprogramme.de/daten/programme/js/strukturformler-online/index.html";660;620
